Player,Pos,3P%,2P%,FT%,TRB,AST,STL,BLK
Willie Cauley-Stein,C,0,0.567,0.648,5.3,0.6,0.7,1
Mario Chalmers,PG,0.309,0.461,0.832,2.6,3.8,1.4,0.2
Tyson Chandler,C,0,0.585,0.62,8.7,1,0.5,0.7
Rakeem Christmas,PF,0,1,0,1,0,0,0
Ian Clark,SG,0.357,0.5,0.824,1,1,0.3,0.2
Coty Clarke,SF,1,0,0,0.3,0,0,0
Jordan Clarkson,SG,0.347,0.468,0.804,4,2.4,1.1,0.1
Norris Cole,PG,0.324,0.427,0.8,3.4,3.7,0.8,0.1
Darren Collison,PG,0.401,0.519,0.858,2.3,4.3,1,0.1
Nick Collison,PF,0,0.467,0.697,2.9,0.9,0.3,0.3
Mike Conley,PG,0.363,0.449,0.834,2.9,6.1,1.2,0.3
Pat Connaughton,SG,0.238,0.286,1,0.9,0.3,0.1,0
Chris Copeland,PF,0.278,0.467,0.857,0.4,0.5,0.1,0
Bryce Cotton,PG,0,0.571,0,0,0.4,0.4,0
DeMarcus Cousins,C,0.333,0.473,0.718,11.5,3.3,1.6,1.4
Robert Covington,SF,0.353,0.452,0.791,6.3,1.4,1.6,0.6
Allen Crabbe,SG,0.393,0.506,0.867,2.7,1.2,0.8,0.2
Jamal Crawford,SG,0.34,0.44,0.904,1.8,2.3,0.7,0.2
Jae Crowder,SF,0.336,0.529,0.82,5.1,1.8,1.7,0.5
Dante Cunningham,SF,0.316,0.55,0.695,3,1,0.5,0.4
Jared Cunningham,SG,0.308,0.364,0.655,0.9,0.5,0.3,0
Seth Curry,PG,0.45,0.46,0.833,1.4,1.5,0.5,0.1
Stephen Curry,PG,0.454,0.566,0.908,5.4,6.7,2.1,0.2
Troy Daniels,SG,0.484,0.462,0.556,1.3,0.5,0.3,0.1
Anthony Davis,PF,0.324,0.511,0.758,10.3,1.9,1.3,2
Ed Davis,PF,0,0.611,0.559,7.4,1.1,0.7,0.9
Branden Dawson,PF,0,0.4,1,0.7,0,0,0.2
Dewayne Dedmon,C,0,0.559,0.75,3.9,0.2,0.4,0.8
Bryce Dejean-Jones,SG,0.375,0.432,0.524,3.4,1.1,0.7,0.1
Sam Dekker,SF,0,0,0,0.3,0,0.3,0
Matthew Dellavedova,PG,0.41,0.401,0.864,2.1,4.4,0.6,0.1
Luol Deng,PF,0.344,0.513,0.755,6,1.9,1,0.4
DeMar DeRozan,SG,0.338,0.458,0.85,4.5,4,1,0.3
Boris Diaw,PF,0.362,0.564,0.737,3.1,2.3,0.3,0.3
Gorgui Dieng,C,0.3,0.54,0.827,7.1,1.7,1.1,1.2
Spencer Dinwiddie,PG,0.1,0.409,0.576,1.4,1.8,0.3,0
Toney Douglas,PG,0.399,0.421,0.848,2.3,2.6,1.1,0.1
Goran Dragic,PG,0.312,0.527,0.727,3.8,5.8,1,0.2
Andre Drummond,C,0.333,0.522,0.355,14.8,0.8,1.5,1.4
Jared Dudley,PF,0.42,0.534,0.735,3.5,2.1,0.9,0.2
Duje Dukan,SF,0.4,0,0,4,1,1,0
Tim Duncan,C,0,0.49,0.702,7.3,2.7,0.8,1.3
Mike Dunleavy,SF,0.394,0.427,0.784,2.7,1.3,0.5,0.3
Kevin Durant,SF,0.387,0.569,0.898,8.2,5,1,1.2
Cleanthony Early,SF,0.267,0.32,0.75,1.5,0.4,0.1,0.2
Jarell Eddie,SF,0.319,0.278,1,0.9,0.2,0.2,0
Wayne Ellington,SG,0.358,0.416,0.857,2.3,1.1,0.6,0.1
Monta Ellis,SG,0.309,0.472,0.786,3.3,4.7,1.9,0.5
James Ennis,SF,0.448,0.509,0.735,1.9,1,0.7,0.2
Tyler Ennis,PG,0.333,0.48,0.735,1.6,2.1,0.5,0
Jeremy Evans,SF,0.25,0.688,0.714,1.8,0.1,0.2,0.3
Tyreke Evans,SG,0.388,0.45,0.796,5.2,6.6,1.3,0.3
Festus Ezeli,C,0,0.548,0.53,5.6,0.7,0.4,1.1
Kenneth Faried,PF,0.5,0.558,0.613,8.7,1.2,0.5,0.9
Jordan Farmar,PG,0.356,0.473,1,2.1,3.1,1.3,0.2
Derrick Favors,PF,0,0.518,0.709,8.1,1.5,1.2,1.5
Cristiano Felicio,C,0,0.588,0.714,3.3,0.8,0.2,0.4
Raymond Felton,PG,0.282,0.463,0.847,3.2,3.6,0.9,0.2
Evan Fournier,SF,0.4,0.506,0.836,2.8,2.7,1.2,0
Randy Foye,SG,0.3,0.405,0.824,1.9,2,0.5,0.4
Tim Frazier,PG,0.333,0.442,0.716,2.2,3.2,0.6,0
Jimmer Fredette,SG,0.5,0.333,0.8,0,0.2,0.2,0
Channing Frye,PF,0.387,0.545,0.857,3.3,1,0.4,0.4
Danilo Gallinari,SF,0.364,0.434,0.868,5.3,2.5,0.8,0.4
Langston Galloway,PG,0.344,0.423,0.754,3.5,2.5,0.9,0.3
Kevin Garnett,PF,0,0.474,0.667,3.9,1.6,0.7,0.3
Marc Gasol,C,0.667,0.463,0.829,7,3.8,1,1.3
Pau Gasol,C,0.348,0.478,0.792,11,4.1,0.6,2
Rudy Gay,SF,0.344,0.495,0.78,6.5,1.7,1.4,0.7
Alonzo Gee,SF,0.283,0.59,0.667,3.4,1,0.9,0.2
